═══════════════════════════════════════════════════════════════════════════════
PALAVRAS NÃO TRADUZIDAS - APOCALIPSE
Bíblia Belém An.C 2025
═══════════════════════════════════════════════════════════════════════════════

Data: 2026-01-17
Total de palavras únicas: 1981
Traduzidas: 243
Mantidas no original: 2
Não traduzidas: 1736

═══════════════════════════════════════════════════════════════════════════════
PALAVRAS SEM TRADUÇÃO (ordenadas por frequência)
═══════════════════════════════════════════════════════════════════════════════

Freq.  Palavra Grega
   3x  ἁγίαν
   3x  ἀρχὴ
   3x  ἀνὰ
   3x  ἀνατολῆς
   3x  ἀναβαῖνον
   3x  ἀληθινός
   3x  ἀληθιναὶ
   3x  ἀκουσθῇ
   3x  ἀδελφῶν
   3x  ψυχὰς
   3x  χρόνον
   3x  χρυσίον
   3x  χρείαν
   3x  χάλαζα
   3x  φωτὸς
   3x  φυλῶν
   3x  φρέατος
   3x  φαγεῖν
   3x  υἱῶν
   3x  τούτων
   3x  τιμίῳ
   3x  τηρῶν
   3x  τελεσθῇ
   3x  τίς
   3x  τέταρτος
   3x  σωτηρία
   3x  σφραγῖδας
   3x  σιδηρᾷ
   3x  σημεῖον
   3x  σάλπιγγος
   3x  πᾶσαν
   3x  πρόσωπον
   3x  προσώπου
   3x  προσκυνοῦντας
   3x  ποταμὸν
   3x  ποιμανεῖ
   3x  πληγῶν
   3x  πληγὴ
   3x  πλάτος
   3x  περιβεβλημένη
   3x  παντὸς
   3x  πέντε
   3x  πέμπτος
   3x  πάσης
   3x  οὐκέτι
   3x  οὐαὶ
   3x  οὐαί
   3x  ξύλον
   3x  νὺξ
   3x  νυκτὸς
   3x  νεκρὸς
   3x  ναῷ
   3x  ναὸν
   3x  μεσουρανήματι
   3x  μακρόθεν
   3x  μακάριος
   3x  μέτωπον
   3x  μέρος
   3x  λαμπρὸν
   3x  λέγουσιν
   3x  λέγουσα
   3x  κἀγὼ
   3x  κύκλῳ
   3x  κόκκινον
   3x  κυκλόθεν
   3x  κρατοῦντας
   3x  κρίμα
   3x  κεφαλαὶ
   3x  κατεκάη
   3x  καταβαίνοντα
   3x  καιρὸς
   3x  καινὴν
   3x  καθημένους
   3x  καθαρὸν
   3x  θώρακας
   3x  θύραν
   3x  θλῖψιν
   3x  θείῳ
   3x  θαλάσσῃ
   3x  ζῶντι
   3x  διδαχὴν
   3x  διαδήματα
   3x  διάβολος
   3x  δεξιᾶς
   3x  δεξιὰν
   3x  δείξω
   3x  δίκαιαι
   3x  γυναικὸς
   3x  γνώμην
   3x  βρονταὶ
   3x  βιβλαρίδιον
   3x  βασιλεύσουσιν
   3x  βασανισμοῦ
   3x  αὐτὰ
   3x  Τίς
   3x  Πνεύματα
   3x  Πατρός
   3x  Οὗτοι
   3x  Δαυείδ
   3x  Γράψον
   2x  ῥομφαία
   2x  ὑψηλόν
   2x  ὑπομονὴ
   2x  ὑπομονήν
   2x  ὑαλίνην
   2x  Ὅρα
   2x  ὅλης
   2x  ὅλη
   2x  ὄχλου
   2x  ὄρη
   2x  ὄπισθεν
   2x  ὁμοίως
   2x  ὁμοία
   2x  ὀφθαλμοὺς
   2x  ὀφθαλμοὶ
   2x  ὀξὺ
   2x  ὀξύ
   2x  ὀξεῖα
   2x  ὀλίγον
   2x  ὀλίγα
   2x  Ἰούδα
   2x  Ἰουδαίους
   2x  ἶρις
   2x  ἴασπις
   2x  ἱματίοις
   2x  ἱμάτιον
   2x  ἰσχυρῶν
   2x  ἰσχυρὸς
   2x  ἰσχυρὸν
   2x  ἰάσπιδι
   2x  ἦρεν
   2x  ἡμέρᾳ
   2x  ἠρνήσω
   2x  ἠρημώθη
   2x  ἠνοίγη
   2x  ἠκολούθησεν
   2x  ἠκολούθει
   2x  Ἔπεσεν
   2x  ἕξ
   2x  ἔχουσαι
   2x  ἔχοντος
   2x  ἔτεκεν
   2x  ἔσωθεν
   2x  ἔστησαν
   2x  ἔσονται
   2x  ἔρχομαί
   2x  ἔξω
   2x  ἔλαιον
   2x  ἔκρινεν
   2x  ἔκραζον
   2x  ἔθνους
   2x  ἔθνος
   2x  ἔθνεσιν
   2x  ἔθηκεν
   2x  ἔζησεν
   2x  ἔζησαν
   2x  ἔδωκαν
   2x  ἔδειξέν
   2x  ἑστῶτες
   2x  ἑστῶτα
   2x  ἐτελέσθη
   2x  ἐσφαγμένων
   2x  ἐσφαγμένον
   2x  ἐστάθη
   2x  ἐρρέθη
   2x  ἐπόρνευσαν
   2x  ἐπλούτησαν
   2x  ἐπάνω
   2x  ἐξῆλθον
   2x  ἐξηράνθη
   2x  ἐξαλείψει
   2x  ἐνώπιόν
   2x  ἐντολὰς
   2x  ἐνδεδυμένοι
   2x  ἐμέτρησεν
   2x  ἐλάλησεν
   2x  ἐλάλει
   2x  ἐκρίθησαν
   2x  ἐκκλησίαι
   2x  ἐθεραπεύθη
   2x  ἐδόθησαν
   2x  ἐγγύς
   2x  Ἄξιος
   2x  ἄξιοί
   2x  ἂν
   2x  ἀστὴρ
   2x  ἀστέρες
   2x  ἀστέρα
   2x  ἀρχαῖος
   2x  ἀπῆλθαν
   2x  ἀπώλειαν
   2x  ἀποκτενεῖ
   2x  ἀποκτείνωσιν
   2x  ἀποκτανθῆναι
   2x  ἀποθανεῖν
   2x  ἀπήνεγκέν
   2x  ἀναβαίνει
   2x  ἀνέβησαν
   2x  ἀνέβη
   2x  ἀνάπαυσιν
   2x  ἀληθινοί
   2x  ἀκούων
   2x  ἀκαθάρτου
   2x  ἀκάθαρτα
   2x  ἀετοῦ
   2x  ἀγοράσαι
   2x  ψυχρὸς
   2x  ψευδοπροφήτης
   2x  χρυσίῳ
   2x  χιλιάδων
   2x  χιλίας
   2x  χαλκολιβάνῳ
   2x  φόβον
   2x  φυλὴν
   2x  φυλακὴ
   2x  φοβοῦ
   2x  φλὸξ
   2x  φάνῃ
   2x  τόπος
   2x  τριῶν
   2x  τρίχας
   2x  τρία
   2x  τιμὴ
   2x  τηροῦντες
   2x  τηρούντων
   2x  τεκεῖν
   2x  τείχους
   2x  τέταρτον
   2x  τέσσαρσιν
   2x  τέλος
   2x  τέκνον
   2x  σύνδουλός
   2x  συναγαγεῖν
   2x  στόματός
   2x  στόματι
   2x  στόματί
   2x  στρατεύματα
   2x  στομάτων
   2x  στεφάνους
   2x  σταδίων
   2x  στέφανος
   2x  στέφανον
   2x  σού
   2x  σοφίαν
   2x  σοφία
   2x  σκηνώσει
   2x  σκεῦος
   2x  σελήνης
   2x  σελήνη
   2x  σαλπίζειν
   2x  πᾶσιν
   2x  πᾶσαι
   2x  πόρνην
   2x  πόθεν
   2x  πόδας
   2x  πυρώσεως
   2x  πυρρός
   2x  πυλῶσιν
   2x  πυλῶνας
   2x  πτῶμα
   2x  προφῆται
   2x  προσκύνησον
   2x  προσκυνῆσαι
   2x  προσευχαῖς
   2x  ποτηρίῳ
   2x  ποτήριον
   2x  πορνεῦσαι
   2x  πολλοῦ
   2x  πολεμῆσαι
   2x  ποιῶν
   2x  ποιήσῃ
   2x  ποιήσω
   2x  πνεύματα
   2x  πληγαὶ
   2x  πλατείας
   2x  πλανῶν
   2x  πλανᾷ
   2x  πιστοὶ
   2x  περιπατήσουσιν
   2x  περιβεβλημένους
   2x  περιβεβλημένοι
   2x  πενθοῦντες
   2x  παντὶ
   2x  οὔπω
   2x  οὐραῖς
   2x  οὐρανόν
   2x  οἶνον
   2x  οἰκουμένης
   2x  νῆσος
   2x  νύμφην
   2x  νυκτός
   2x  νικῶντι
   2x  νικήσει
   2x  νεφέλης
   2x  νεφέλην
   2x  νεκροὺς
   2x  νεκροὶ
   2x  ναί
   2x  μῆνα
   2x  μῆκος
   2x  μυριάδων
   2x  μνημόνευε
   2x  μελλούσης
   2x  μεγιστᾶνες
   2x  μεγάλους
   2x  μεγάλου
   2x  μεγάλα
   2x  μαχαίρῃ
   2x  μέτρον
   2x  μέλι
   2x  μέλας
   2x  λύχνου
   2x  λυχνίας
   2x  λυχνίαι
   2x  λοιπῶν
   2x  ληνὸν
   2x  λεόντων
   2x  λευκὸν
   2x  λευκός
   2x  λευκή
   2x  λαῶν
   2x  λαοὶ
   2x  λέγοντας
   2x  κόψονται
   2x  κρίσεις
   2x  κλεῖσαι
   2x  κλεῖν
   2x  κλαίοντες
   2x  κλέπτης
   2x  κιθαρῳδῶν
   2x  κεχρυσωμένη
   2x  κεφαλῆς
   2x  κεφαλὴν
   2x  κεράτων
   2x  καῦμα
   2x  καταβολῆς
   2x  καταβαίνουσαν
   2x  κατέβη
   2x  καπνὸν
   2x  καλούμενος
   2x  καιρὸν
   2x  καινὸν
   2x  καθαρόν
   2x  καθήμενον
   2x  κάθηται
   2x  θυσιαστήριον
   2x  θυμιαμάτων
   2x  θυμιάματα
   2x  θείου
   2x  θανάτῳ
   2x  θάνατον
   2x  ζῶντος
   2x  ζεστός
   2x  εὑρεθῇ
   2x  εὑρήσουσιν
   2x  εὐλογία
   2x  εἶχον
   2x  εἶχεν
   2x  εἴληφεν
   2x  εἴληφας
   2x  εἰδωλόθυτα
   2x  δότε
   2x  δωρεάν
   2x  δράκοντος
   2x  δοῦλοι
   2x  δούλων
   2x  διακοσίας
   2x  δηναρίου
   2x  δεῖπνον
   2x  δεύτερον
   2x  δευτέρου
   2x  δεξιᾷ
   2x  δαιμονίων
   2x  δένδρον
   2x  δάκρυον
   2x  γόμον
   2x  γυναικῶν
   2x  γυναικί
   2x  γρηγορῶν
   2x  γλῶσσαν
   2x  γλωσσῶν
   2x  γεμούσας
   2x  γεγραμμένων
   2x  γίνου
   2x  γέμοντα
   2x  γέγραπται
   2x  βροντῆς
   2x  βλέπωσιν
   2x  βασανισμὸς
   2x  βασανισθήσονται
   2x  βάλλω
   2x  αὐτοὶ
   2x  αὐταῖς
   2x  αἰχμαλωσίαν
   2x  Σάρδεσιν
   2x  Παντοκράτορος
   2x  Πέμψον
   2x  Οὗτοί
   2x  Νικολαϊτῶν
   2x  Ναί
   2x  Μακάριοι
   2x  ΚΑΙ
   2x  Θυατείροις
   2x  Διάβολος
   2x  Δεῦρο
   2x  Βασιλεὺς
   1x  Ῥουβὴν
   1x  Ῥίζα
   1x  ῥυπαρὸς
   1x  ῥυπανθήτω
   1x  ῥομφαίαν
   1x  ῥεδῶν
   1x  ῥίζα
   1x  Ὧδέ
   1x  ὥσπερ
   1x  ὤμοσεν
   1x  ὠργίσθησαν
   1x  ὠργίσθη
   1x  ὠδίνουσα
   1x  Ὕπαγε
   1x  Ὑπάγετε
   1x  ὕψος
   1x  ὕαλος
   1x  ὑπομονῇ
   1x  ὑπομονῆς
   1x  ὑπάγῃ
   1x  ὑετὸς
   1x  ὑαλίνη
   1x  ὑακινθίνους
   1x  ὑάλῳ
   1x  ὑάκινθος
   1x  Ὅσιος
   1x  ὅσιος
   1x  ὅμοιαι
   1x  ὅμοια
   1x  ὅλην
   1x  ὄψονται
   1x  ὄψις
   1x  ὄψεται
   1x  ὄχλος
   1x  ὄχλοι
   1x  ὄφεως
   1x  ὄφεσιν
   1x  ὄφελον
   1x  ὄρνεα
   1x  ὄρεσιν
   1x  ὄγδοός
   1x  ὄγδοος
   1x  ὁσάκις
   1x  ὁρμήματι
   1x  ὁμολογήσω
   1x  ὁμοιώματα
   1x  ὁμοίας
   1x  ὁδοί
   1x  ὁδηγήσει
   1x  ὀφθαλμὸς
   1x  ὀφθαλμούς
   1x  ὀρνέου
   1x  ὀρνέοις
   1x  ὀργή
   1x  ὀρέων
   1x  ὀπώρα
   1x  ὀξεῖαν
   1x  ὀλύνθους
   1x  ὀδόντες
   1x  Ἰωσὴφ
   1x  Ἰσσαχὰρ
   1x  Ἰεζάβελ
   1x  ἴσχυσαν
   1x  ἴσα
   1x  ἴδω
   1x  ἱππικοῦ
   1x  ἰσχὺς
   1x  ἰσχὺν
   1x  ἰσχυρᾷ
   1x  ἰσχυροὶ
   1x  ἰσχυρά
   1x  ἰδὼν
   1x  ἦς
   1x  ἦλθον
   1x  ἤμελλον
   1x  ἤκουσας
   1x  ἤκουσαν
   1x  ἤκμασαν
   1x  ἡτοιμασμένον
   1x  ἡτοιμασμένοις
   1x  ἡτοιμασμένοι
   1x  ἡτοιμασμένην
   1x  ἡτοίμασεν
   1x  ἡτοίμασαν
   1x  ἡρπάσθη
   1x  ἡμιώριον
   1x  ἡμερῶν
   1x  ἠρημωμένην
   1x  ἠνοίχθησαν
   1x  ἠνοίχθη
   1x  ἠνεῳγμένην
   1x  ἠνεῳγμένη
   1x  ἠγόρασας
   1x  ἠγορασμένοι
   1x  ἠγοράσθησαν
   1x  ἠγαπημένην
   1x  ἠγάπησαν
   1x  ἠγάπησά
   1x  Ἕως
   1x  Ἔγειρε
   1x  Ἑλληνικῇ
   1x  Ἑβραϊστὶ
   1x  Ἑβραϊστί
   1x  Ἐξέλθατε
   1x  ἕστηκεν
   1x  ἕστηκα
   1x  ἕξετε
   1x  ἕνα
   1x  ἕλκος
   1x  ἕκτῳ
   1x  ἕκτην
   1x  ἕκαστον
   1x  ἔχουσαν
   1x  ἔχοντι
   1x  ἔχον
   1x  ἔχετε
   1x  ἔφθειρεν
   1x  ἔφαγον
   1x  ἔσχατα
   1x  ἔσομαι
   1x  ἔρχου
   1x  ἔρχεσθαι
   1x  ἔριον
   1x  ἔπλυναν
   1x  ἔπεμψα
   1x  ἔνατος
   1x  ἔμφοβοι
   1x  ἔμποροί
   1x  ἔμελλον
   1x  ἔλθῃ
   1x  ἔλεγον
   1x  ἔκτισεν
   1x  ἔκτισας
   1x  ἔκρυψαν
   1x  ἔκρινας
   1x  ἔκραξαν
   1x  ἔκλεισεν
   1x  ἔκλαιον
   1x  ἔκειτο
   1x  ἔκβαλε
   1x  ἔδωκα
   1x  ἔδησεν
   1x  ἔγνωσαν
   1x  ἔβλεψα
   1x  ἔβαλον
   1x  ἑτοιμασθῇ
   1x  ἑστῶτος
   1x  ἑστὸς
   1x  ἑστηκὸς
   1x  ἑστηκότες
   1x  ἑστήκασιν
   1x  ἑξακόσιοι
   1x  ἑξακοσίων
   1x  ἑνδέκατος
   1x  ἑλκῶν
   1x  ἑλισσόμενον
   1x  ἑβδόμου
   1x  ἑβδόμην
   1x  ἑαυτῶν
   1x  ἑαυτὴν
   1x  ἑαυτοῦ
   1x  ἑαυτούς
   1x  ἑαυτήν
   1x  ἐχορτάσθησαν
   1x  ἐχθροὺς
   1x  ἐχθροὶ
   1x  ἐφώτισεν
   1x  ἐφώνησεν
   1x  ἐφωτίσθη
   1x  ἐφανερώθησαν
   1x  ἐτρύγησεν
   1x  ἐτήρησας
   1x  ἐτήρησάς
   1x  ἐσχάτων
   1x  ἐσχάτας
   1x  ἐσφραγισμένων
   1x  ἐσφράγισεν
   1x  ἐσφαγμένου
   1x  ἐσφαγμένην
   1x  ἐσφάγης
   1x  ἐστρηνίασεν
   1x  ἐσταυρώθη
   1x  ἐσκοτώθη
   1x  ἐσκοτωμένη
   1x  ἐρῶ
   1x  ἐρχόμενοι
   1x  ἐρχέσθω
   1x  ἐργάζονται
   1x  ἐραυνῶν
   1x  ἐπολέμησεν
   1x  ἐποίησας
   1x  ἐπλανήθησαν
   1x  ἐπλήγη
   1x  ἐπλάνησεν
   1x  ἐπιστρέψας
   1x  ἐπικράνθησαν
   1x  ἐπικράνθη
   1x  ἐπιθῇ
   1x  ἐπιθυμίας
   1x  ἐπιθυμήσουσιν
   1x  ἐπιθήσει
   1x  ἐπιγεγραμμένα
   1x  ἐπιάσθη
   1x  ἐπείρασας
   1x  ἐπατήθη
   1x  ἐπέστρεψα
   1x  ἐπέπεσεν
   1x  ἐξελθούσῃ
   1x  ἐξελεύσεται
   1x  ἐξεκέντησαν
   1x  ἐξεδίκησεν
   1x  ἐξαλείψω
   1x  ἐξέχεαν
   1x  ἐξέλθῃ
   1x  ἐντεῦθεν
   1x  ἐνιαυτόν
   1x  ἐνδώμησις
   1x  ἐνδεδυμένον
   1x  ἐνίκησεν
   1x  ἐνίκησαν
   1x  ἐνίκησα
   1x  ἐμὲ
   1x  ἐμόλυναν
   1x  ἐμοὺς
   1x  ἐμολύνθησαν
   1x  ἐμνημόνευσεν
   1x  ἐμνήσθη
   1x  ἐμεθύσθησαν
   1x  ἐμασῶντο
   1x  ἐμαρτύρησεν
   1x  ἐμέσαι
   1x  ἐλύθησαν
   1x  ἐλεύκαναν
   1x  ἐλεύθερος
   1x  ἐλεφάντινον
   1x  ἐλευθέρων
   1x  ἐλευθέρους
   1x  ἐλεεινὸς
   1x  ἐλαῖαι
   1x  ἐλέγχω
   1x  ἐκύκλευσαν
   1x  ἐκχέετε
   1x  ἐκτίσθησαν
   1x  ἐκράτησεν
   1x  ἐκπορεύονται
   1x  ἐκπορευόμενον
   1x  ἐκπορευομένου
   1x  ἐκπορευομένη
   1x  ἐκολλήθησαν
   1x  ἐκλεκτοὶ
   1x  ἐκινήθησαν
   1x  ἐκεῖθεν
   1x  ἐκείνῃ
   1x  ἐκείναις
   1x  ἐκδικεῖς
   1x  ἐκαυματίσθησαν
   1x  ἐκέρασεν
   1x  ἐκάθισαν
   1x  ἐκάθισα
   1x  ἐθεώρησαν
   1x  ἐθερίσθη
   1x  ἐθαύμασας
   1x  ἐθαύμασα
   1x  ἐθαυμάσθη
   1x  ἐδόξασεν
   1x  ἐδίωξεν
   1x  ἐδίδασκεν
   1x  ἐγχρῖσαι
   1x  ἐγεμίσθη
   1x  ἐγέμισεν
   1x  ἐβοήθησεν
   1x  ἐβδελυγμένοις
   1x  ἐβασίλευσεν
   1x  ἐβασίλευσας
   1x  ἐβασίλευσαν
   1x  ἐβασάνισαν
   1x  ἐβάστασας
   1x  Ἅιδου
   1x  Ἄψινθος
   1x  Ἄρτι
   1x  Ἄξιός
   1x  Ἁρμαγεδών
   1x  Ἀσὴρ
   1x  Ἀσίᾳ
   1x  Ἀπολλύων
   1x  Ἀντιπᾶς
   1x  Ἀνάβατε
   1x  Ἀνάβα
   1x  Ἀληθινός
   1x  Ἀβαδδών
   1x  ἅλυσιν
   1x  ἅγιοι
   1x  ἄψινθον
   1x  ἄρχων
   1x  ἄρσενα
   1x  ἄρσεν
   1x  ἄρκου
   1x  ἄνεμος
   1x  ἄμωμον
   1x  ἄμωμοί
   1x  ἄμπελον
   1x  ἄμμος
   1x  ἄμμον
   1x  ἄλλην
   1x  ἁρμάτων
   1x  ἁμαρτίαις
   1x  ἁμαρτίαι
   1x  ἁγιασθήτω
   1x  ἁγίοις
   1x  ἁγίας
   1x  ἀὴρ
   1x  ἀφεῖς
   1x  ἀφελεῖ
   1x  ἀφίουσιν
   1x  ἀφέλῃ
   1x  ἀσχημοσύνην
   1x  ἀστέρος
   1x  ἀρνίῳ
   1x  ἀρνίου
   1x  ἀριθμῆσαι
   1x  ἀριθμοῦ
   1x  ἀργύρου
   1x  ἀργυρᾶ
   1x  ἀπῆλθα
   1x  ἀπώλετο
   1x  ἀπόστολοι
   1x  ἀπόδοτε
   1x  ἀποστόλων
   1x  ἀποστόλους
   1x  ἀποκτεῖναι
   1x  ἀποκτενῶ
   1x  ἀποκτανθῶσιν
   1x  ἀποκτέννεσθαι
   1x  ἀποθνῄσκοντες
   1x  ἀποδοῦναι
   1x  ἀποδιδοῦν
   1x  ἀπεχωρίσθη
   1x  ἀπεσταλμένοι
   1x  ἀπεκτάνθη
   1x  ἀπεκρίθη
   1x  ἀπαρχὴ
   1x  ἀπίστοις
   1x  ἀπέστειλεν
   1x  ἀπέθανον
   1x  ἀπέδωκεν
   1x  ἀπάρτι
   1x  ἀνοίξῃ
   1x  ἀνοίγων
   1x  ἀνοίγει
   1x  ἀνδρὶ
   1x  ἀναστάσει
   1x  ἀναπαύσωνται
   1x  ἀναπαήσονται
   1x  ἀναγινώσκων
   1x  ἀναβαίνοντα
   1x  ἀναβαίνειν
   1x  ἀνέμους
   1x  ἀνέμου
   1x  ἀνάστασις
   1x  ἀμπέλου
   1x  ἀμέθυστος
   1x  ἀλλήλους
   1x  ἀλλήλοις
   1x  ἀληθινοὶ
   1x  ἀκρίδων
   1x  ἀκρίδες
   1x  ἀκράτου
   1x  ἀκούσῃ
   1x  ἀκούοντι
   1x  ἀκούοντες
   1x  ἀκούειν
   1x  ἀκολουθοῦντες
   1x  ἀκολουθεῖ
   1x  ἀετῷ
   1x  ἀδικῶν
   1x  ἀδικοῦσιν
   1x  ἀδικησάτω
   1x  ἀδικηθῇ
   1x  ἀδικήσῃς
   1x  ἀδικήσουσιν
   1x  ἀδικήσητε
   1x  ἀδικήματα
   1x  ἀδελφὸς
   1x  ἀδελφοὶ
   1x  ἀγοράζει
   1x  ἀγαλλιῶμεν
   1x  ἀέρα
   1x  ψυχῆς
   1x  ψυχὴν
   1x  ψυχὴ
   1x  ψυχρός
   1x  ψυχάς
   1x  ψηφισάτω
   1x  ψεύδονται
   1x  ψευδοπροφήτου
   1x  ψευδέσιν
   1x  χόρτος
   1x  χόρτον
   1x  χρόνος
   1x  χρυσῷ
   1x  χρυσόπρασος
   1x  χρυσόλιθος
   1x  χρυσοῦ
   1x  χοῦν
   1x  χοίνικες
   1x  χλωρὸς
   1x  χλωρὸν
   1x  χλωρός
   1x  χλιαρὸς
   1x  χιών
   1x  χιλιάρχων
   1x  χιλίων
   1x  χιλίαρχοι
   1x  χερσὶν
   1x  χειρῶν
   1x  χαλκᾶ
   1x  χαλκοῦ
   1x  χαλκηδών
   1x  χαλινῶν
   1x  χαλάζης
   1x  χαίρωμεν
   1x  χαίρουσιν
   1x  χήρα
   1x  φῶς
   1x  φύλλα
   1x  φόνων
   1x  φόβος
   1x  φωτίσει
   1x  φωστὴρ
   1x  φωνῶν
   1x  φωνάς
   1x  φυλαὶ
   1x  φυλακῆς
   1x  φυλακὴν
   1x  φρέαρ
   1x  φονεῦσιν
   1x  φονεῖς
   1x  φοβούμενοι
   1x  φοβουμένοις
   1x  φοβηθῇ
   1x  φοίνικες
   1x  φλόγα
   1x  φιλῶν
   1x  φιλῶ
   1x  φεύγει
   1x  φαρμακιῶν
   1x  φαρμακίᾳ
   1x  φαρμάκοις
   1x  φανερωθῇ
   1x  φαίνωσιν
   1x  φαίνει
   1x  φέρουσιν
   1x  φάρμακοι
   1x  φάγονται
   1x  φάγητε
   1x  υἱόν
   1x  τόπων
   1x  τόπου
   1x  τόξον
   1x  τυφλὸς
   1x  τρύγησον
   1x  τρεχόντων
   1x  τρίχινος
   1x  τρίχες
   1x  τρίτου
   1x  τρίτην
   1x  τρίτη
   1x  τρέφωσιν
   1x  τρέφεται
   1x  τοῦτό
   1x  τοσοῦτος
   1x  τοσοῦτον
   1x  τοπάζιον
   1x  τιμιότητος
   1x  τιμιωτάτῳ
   1x  τιμιωτάτου
   1x  τιμίου
   1x  τηρήσω
   1x  τηλικοῦτος
   1x  τεχνίτης
   1x  τετράγωνος
   1x  τετάρτου
   1x  τετάρτην
   1x  τελεσθῶσιν
   1x  τελεσθήσονται
   1x  τελέσωσιν
   1x  τεθῆναι
   1x  ταύτην
   1x  ταύτας
   1x  ταύταις
   1x  ταλαντιαία
   1x  ταλαίπωρος
   1x  τίνες
   1x  τήρει
   1x  τέχνης
   1x  τέλους
   1x  τέκῃ
   1x  τέκνα
   1x  σῖτον
   1x  σύρει
   1x  σύνδουλοι
   1x  σωμάτων
   1x  σφόδρα
   1x  σφραγῖσιν
   1x  σφραγίσῃς
   1x  σφραγίσωμεν
   1x  σφραγίδων
   1x  σφάξουσιν
   1x  συντρίβεται
   1x  συνκοινωνὸς
   1x  συνκοινωνήσητε
   1x  συνηγμένα
   1x  συναγωγῆς
   1x  συναγωγὴ
   1x  συνήγαγεν
   1x  συνάχθητε
   1x  συμβουλεύω
   1x  συκῆ
   1x  στρηνιάσαντες
   1x  στρατεύματος
   1x  στρατευμάτων
   1x  στρήνους
   1x  στρέφειν
   1x  στολὴ
   1x  σταφυλαὶ
   1x  σταθῆναι
   1x  στήσονται
   1x  στήρισον
   1x  στήθη
   1x  στέφανόν
   1x  στέφανοι
   1x  σπήλαια
   1x  σπέρματος
   1x  σμαραγδίνῳ
   1x  σμάραγδος
   1x  σκοτισθῇ
   1x  σκορπίου
   1x  σκορπίοις
   1x  σκορπίοι
   1x  σκηνῆς
   1x  σκηνὴν
   1x  σκηνὴ
   1x  σκηνοῦντες
   1x  σκηνοῦντας
   1x  σκεύη
   1x  σκάνδαλον
   1x  σιρικοῦ
   1x  σιδηροῦς
   1x  σιδήρου
   1x  σιγὴ
   1x  σεμίδαλιν
   1x  σεισμῷ
   1x  σεισμός
   1x  σειομένη
   1x  σαρκῶν
   1x  σαρδόνυξ
   1x  σαρδίῳ
   1x  σαλπιστῶν
   1x  σαλπίσωσιν
   1x  σίτου
   1x  σέ
   1x  σάρδιον
   1x  σάπφειρος
   1x  σάλπιγγες
   1x  σάλπιγγας
   1x  σάλπιγγα
   1x  σάκκους
   1x  σάκκος
   1x  πόρνοις
   1x  πόρνοι
   1x  πόρνης
   1x  πόρνη
   1x  πόνων
   1x  πόνου
   1x  πόνος
   1x  πόλεις
   1x  πόλει
   1x  πόδα
   1x  πωλῆσαι
   1x  πυρίνους
   1x  πυλώνων
   1x  πτώματα
   1x  πτωχὸς
   1x  πτωχούς
   1x  πτωχείαν
   1x  πτερύγων
